Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2019-08-21,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,2019-08
2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.0,2019-08
2019-08-19,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.0,2019-08
2019-08-19,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000.0,2019-08
2019-08-27,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,3900000000.0,2019-08
2019-07-02,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019-07
2019-07-02,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019-07
2019-07-01,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.0,2019-07
2019-07-03,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019-07
2019-07-01,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,38080000.0,2019-07
2019-07-04,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.0,2019-07
2019-07-10,"""BYJU\\'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,2019-07
2019-07-11,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019-07
2019-07-10,Ezyhaul,Tech,Singapore,Undisclosed,Series B,16000000.0,2019-07
2019-07-10,Indus OS,Tech,Andheri,Ventureast,Series B,5750000.0,2019-07
2019-07-10,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.0,2019-07
2019-07-09,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.0,2019-07
2019-07-08,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.0,2019-07
2019-06-05,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,51000000.0,2019-06
2019-06-04,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.0,2019-06
2019-06-03,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54,2019-06
2019-06-03,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,9000000.0,2019-06
2019-06-04,BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.0,2019-06
2019-06-04,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019-06
2019-06-03,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019-06
2019-06-06,Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68,2019-06
2019-06-06,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.0,2019-06
2019-06-06,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,15109500.0,2019-06
2019-06-10,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,2019-06
2019-06-10,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000.0,2019-06
2019-06-06,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,52000000.0,2019-06
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,3584000.0,2019-06
2019-06-04,Leegality,Services,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,2019-06
2019-05-06,Ola Electric,Transport,Bengaluru,Tata Sons,Series A,0.0,2019-05
2019-05-06,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,2019-05
2019-05-05,StyleDotMe,E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,2019-05
2019-05-01,BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019-05
2019-05-02,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000.0,2019-05
2019-05-28,Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series C,51000000.0,2019-05
2019-05-28,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000.0,2019-05
2019-05-30,GlowRoad,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019-05
2019-05-31,Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,5600000.0,2019-05
2019-04-16,Kuvera,Finance,Bengaluru,Eight Roads,Series A,45000000.0,2019-04
2019-04-12,Medlife,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019-04
2019-04-10,Kabadiwala,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019-04
2019-04-13,Tripoto,Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019-04
2019-04-12,Azah,Health and Wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0,2019-04
2019-04-11,Setu,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,2019-04
2019-04-10,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019-04
2019-04-10,Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019-04
2019-04-10,Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,2019-04
2019-04-11,CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019-04
2019-04-19,My Healthcare,E-commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,2019-04
2019-04-19,KrazyBee,E-commerce,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,0.0,2019-04
2019-04-17,Shuttl,Transportation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0,2019-04
2019-04-17,Increff,Technology,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0,2019-04
2019-02-01,FleetX,AI,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,2019-02
2019-02-08,Zilingo,Ecommerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019-02
2019-02-13,NanoClean Global,Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019-02
2018-02-14,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.0,2018-02
2019-01-03,CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019-01
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019-01
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,2019-01
2018-12-04,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,2018-12
2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018-12
2018-12-02,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000.0,2018-12
2018-12-02,Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,572000.0,2018-12
2018-12-04,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,2018-12
2018-12-06,ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,2018-12
2018-12-06,BuildSupply,"SaaS, Ecommerce",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018-12
2018-11-01,GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0,2018-11
