Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2020-02-01,https://www.wealthbucket.in/,Finance,Delhi,Vinod Khatumal,Seed,3000000.0,2020-02
2020-02-01,Fashor,Lifestyle & Fashion,Mumbai,Sprout Venture Partners,Seed,1800000.0,2020-02
2020-10-01,Zomato,Healthcare & Hospitality,Gurgaon,Ant Financial,Other,150000000.0,2020-10
2019-12-12,Ecozen,Software,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019-12
2019-06-12,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019-06
2019-03-12,Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019-03
2019-11-12,Rein Games,Gaming & Entertainment,Noida,Manipal Education and Medical Group (MEMG),Seed,50000000.0,2019-11
2019-12-11,SuperGaming ,Gaming & Entertainment,Pune,Dream Incubator,Seed,1300000.0,2019-12
2019-11-11,eBikeGo,Logistics,Amritsar,Startup Buddy,Seed,300000.0,2019-11
2019-04-10,Dunzo,Marketing,Bangalore,Lightbox,Series D,45000000.0,2019-04
2019-02-10,Udaan,Logistics,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,2019-02
2019-05-09,FPL Technologies,Finance,Pune,"Matrix Partners India, Sequoia India",Seed,4500000.0,2019-05
2019-04-09,Cashflo,Finance,Mumbai,SAIF Partners,Series A,3300000.0,2019-04
2019-04-09,Digital F5,Marketing,Mumbai,TIW Private Equity,Other,6000000.0,2019-04
2019-04-09,3rdFlix,Software,Hyderabad,Exfinity Venture Partners,Seed,5000000.0,2019-04
2019-04-09,75F,Cutting Edge Tech,Outside India,Breakthrough Energy Ventures,Series A,18000000.0,2019-04
2019-04-09,Myelin Foundry,Software,Bangalore,Endiya Partners,Seed,1000000.0,2019-04
2019-04-09,Atomberg Technology,Software,Mumbai,A91 Partners,Series A,10000000.0,2019-04
2019-04-09,GOQii,Healthcare & Hospitality,Outside India,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019-04
2019-03-09,Vyapar App,Finance,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,2019-03
2019-01-08,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019-01
2019-01-08,Progcap,Finance,Delhi,Sequoia India,Series A,5000000.0,2019-01
2019-01-08,MyPetrolPump,Retail,Bangalore,Secret,Seed,1600000.0,2019-01
2019-01-08,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Other,140000000.0,2019-01
2019-01-08,Pine Labs,Software,Noida,Pine Labs Pte Ltd,Other,38080000.0,2019-01
2019-12-08,Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000.0,2019-12
2019-02-07,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019-02
2019-02-07,Atlan,Software,Outside India,WaterBridge Ventures,Seed,2500000.0,2019-02
2019-01-07,WizCounsel,Compliance,Delhi,Kapil Dev,Seed,145000.0,2019-01
2019-03-07,Ola Cabs,Logistics,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019-03
2019-01-07,Uniphore,Cutting Edge Tech,Outside India,March Capital Partners,Series C,38080000.0,2019-01
2019-04-07,Daalchini Technologies,Consumables,Delhi,Artha Venture,Seed,500000.0,2019-04
2019-10-07,BYJU'S,Education,Bangalore,Qatar Investment Authority,Other,150000000.0,2019-10
2019-11-07,Moglix,E-Commerce,Outside India,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019-11
2019-10-07,Ezyhaul,Cutting Edge Tech,Outside India,Undisclosed,Series B,16000000.0,2019-10
2019-10-07,Indus OS,Cutting Edge Tech,Mumbai,Ventureast,Series B,5750000.0,2019-10
2019-10-07,HealthAssure,Healthcare & Hospitality,Mumbai,Blume Ventures,Series A,2500000.0,2019-10
2019-09-07,House of Msasaba,Lifestyle & Fashion,Mumbai,Binny Bansal,Series A,1000000.0,2019-09
2019-08-07,Board Infinity,Education,Mumbai,Multiple Angel Investors,Seed,319605.0,2019-08
2019-05-06,NoBroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000.0,2019-05
2019-04-06,Bira91,Consumables,Delhi,Anicut Capital,Debt,10000000.0,2019-04
2019-03-06,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Other,4889975.54,2019-03
2019-03-06,Avail Finance,Finance,Bangalore,Matrix Partners,Series A,9000000.0,2019-03
2019-04-06,BharatPe,Finance,Delhi,Insight Partners,Series B,75000000.0,2019-04
2019-04-06,Recykal,Energy & Waste Management,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh ",Seed,26000000.0,2019-04
2019-03-06,Agara Labs,Cutting Edge Tech,Bangalore,Blume Ventures and RTP Global,Seed,2500000.0,2019-03
2019-06-06,Sistema.bio,Agriculture,Outside India,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Other,2739034.68,2019-06
2019-06-06,Chakr Innovation,Energy & Waste Management,Delhi,IAN Fund,Series A,26000000.0,2019-06
2019-06-06,Pratilipi,Gaming & Entertainment,Bangalore,Qiming Venture Partners ,Series B,15109500.0,2019-06
2019-10-06,Bolo App,Gaming & Entertainment,Bangalore,Nexus Venture Partners,Seed,430200.0,2019-10
2019-10-06,OkCredit,Finance,Haryana,Tiger Global Management,Series A,15500000.0,2019-10
2019-06-06,Biz2Credit,Finance,Outside India,WestBridge Capital,Series B,52000000.0,2019-06
2019-08-06,Vogo Automotive Pvt. Ltd.,Logistics,Bangalore,Alteria Capital,Debt,3584000.0,2019-08
2019-04-06,Leegality,Software,Bangalore,Mumbai Angels,Series A,3400000.0,2019-04
2019-06-05,Saahas Zero Waste ,Energy & Waste Management,Bangalore,C4D Partners,Other,868600.0,2019-06
2019-01-05,BlackBuck ,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019-01
2019-02-05,Zenoti ,Software,Hyderabad,Tiger Global Management,Series C,50000000.0,2019-02
2019-12-04,Medlife,E-Commerce,Bangalore,Prasid Uno Family Trust,Other,17000000.0,2019-12
2019-10-04,Kabadiwala,E-Commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport, ",Other,430665.0,2019-10
